FID,LSOA21CD,GlobalID,x,y
102,E01004379,af3d677e-05d5-49f3-8134-41cda5216aab,-0.001969282,51.60957097
103,E01000435,08164b4a-47cc-45c2-8503-0e0cee34d3ec,0.181826608,51.46554826
104,E01003052,0dda0b31-d621-4b16-8345-e8e5524ac66c,-0.108663801,51.46079889
105,E01021173,958ea1a1-58ad-4cb1-8362-dd38eca63bbf,0.165637267,51.08167849
106,E01002340,f7eff937-5779-43be-ab60-5c47a6bbd62d,0.176499118,51.5859785
107,E01020130,1ab6a2d2-b90d-4dda-b966-6a459ad58fa7,-4.048988398,51.07311287
108,E01001678,7cc89f85-3caf-478e-8356-8012e3474430,0.090412805,51.47489573
109,E01004727,a60f77ff-3c1f-4ea0-9980-865b0dc59131,-0.162591214,51.52589575
110,E01024336,2fac7608-4e40-4173-a0e5-286b3a682009,0.553645606,51.27781069
111,E01031367,d5fedae2-531a-49d6-9774-fa8f525481d7,-0.277643654,50.83959067
112,E01022732,5d7eea47-5358-4190-b224-a42b3c74f4f1,-1.215604757,50.86141186
113,E01003511,04661f1c-220e-4d3c-989d-38d013f18251,0.020010538,51.51488662
114,E01003521,dcf9ba35-6e21-4379-95a0-b8fe956bf273,0.054510298,51.5350889
115,E01023276,7b31a44a-fde2-4544-afb0-8edbad9d3e43,-1.180022987,50.93953945
116,E01030519,12681543-3f67-4045-9b62-c5de6da03f1f,-0.383579617,51.28010582
117,E01015396,ba7986ec-f4ff-436d-a99b-e2845891ed8b,-1.985025887,50.75607809
118,E01003096,139085d3-1f2b-4708-aef5-bfd5483eb1a9,-0.121904714,51.46666961
119,E01031558,18498577-c8e8-4730-ad27-1e86e249bde1,-0.201930126,51.09635333
120,E01031786,95f20caf-3bd9-49ab-b35b-b517437fc1e0,-0.424754103,50.81963631
121,E01016174,d7fb481d-0050-4475-8f26-95f775d14d04,0.554857228,51.37426323
122,E01004145,ad375c20-fdf7-4d14-81b5-80889619db10,-0.199358827,51.37687451
123,E01015191,a8e33a87-a01d-4b4d-9d7a-2727722383fb,-3.590374806,50.44345057
124,E01002899,1380c393-3bb7-49bb-a5d7-90f98cb905d2,-0.166877897,51.48622314
125,E01032121,f00920f0-258d-46a7-a2e0-d6748dfdc4e2,-2.176461322,51.26303581
126,E01009484,92f196c7-9e2b-4ac7-8b2d-3c1163e8996e,-1.849966097,52.49462695
127,E01034189,04897797-b663-4753-858d-01dc29f80e2d,0.017769505,51.49259648
128,E01024497,7a1d8510-e159-4c17-b8fb-83a699189450,1.19103452,51.09150405
129,E01030381,d927e0cd-7cbf-481d-ae1f-a351841dcb5e,-0.259413072,51.32728122
130,E01000885,c9d95d41-bebf-4dd8-8513-4572fa5b0ad1,-0.184259119,51.55798708
131,E01014684,91edaf2a-0d61-4bf6-94d5-3dcbf3e27540,-2.546567312,51.45880294
132,E01035237,c0815d80-fa98-4abd-9403-f8e76fec09f6,-0.759107206,51.43019697
133,W01001456,71e6c3f6-7e87-4cea-9256-97aa366cac43,-3.206845311,51.7825637
134,E01024408,2351d5d6-173d-4954-883d-5d43326d551a,0.54837656,51.16396754
135,E01000927,c53f35c2-a2d0-452f-a704-b974bee459ff,-0.143870948,51.5465384
136,E01016589,9655ae07-904a-4d23-a43c-aeb04b776be4,-0.57763143,51.4555616
137,E01015334,43f2c0d2-039c-4d72-8cc1-07e4b2ea6963,-1.89286737,50.76057905
138,E01034387,d2d16070-d955-4510-8b81-a7b9e0a4d297,-0.038559511,51.49140323
139,E01018768,c8bde605-3cb8-4ad1-91bc-5610eccf6dd3,-4.452819781,50.45529529
140,E01024270,8b7073e7-c3b0-462a-b3c6-f78ea6dbdd4e,0.357609247,51.38436785
141,E01033328,6a5d99be-9541-4cc0-94ba-1844222a0e8d,-0.13847895,50.82676746
142,E01008916,0d6e58ae-cd94-4dac-81b3-28efc68d06c2,-1.882024576,52.50983951
143,E01002623,63d371ff-ef1c-4c77-b480-343bd78482f0,-0.383540802,51.47694577
144,E01004147,e8c93f6d-1bf3-48f2-89bd-6b3215853ae5,-0.185290453,51.37410064
145,E01002306,a0670f81-3304-4844-974a-c676db4d70e4,0.171719386,51.60618698
146,E01029200,d6764cb2-2c0e-41f2-972d-4c3fecebe88f,-2.824767444,51.04010479
147,E01004439,f4da4b26-aa79-4566-b892-bd113f730ee2,0.002642697,51.56774266
148,E01022507,c32a8a9b-1e41-4797-8322-347995c5b0fa,-1.078788686,51.25558906
149,E01000480,ab466b8f-0034-4338-b000-5a296b16f594,-0.280248106,51.56852072
150,E01031926,d8b12997-e03d-4f62-a771-16450e67530b,-2.133381951,51.45829131
151,E01000960,d9fa1f98-9f55-48ff-bf21-78f9b491316f,-0.180097016,51.54541591
152,E01030907,d63fb3d4-0927-4c06-8fa5-1820f899882d,-0.818069179,51.18345472
